,empty_slots,free_bikes,id,latitude,longitude,name,timestamp,total_slots,gps_ref,yelp_cafe_count,yelp_avg_cafe_rating,yelp_pub_count,yelp_avg_pub_rating,FSQ_pub_count,FSQ_avg_pub_rating,FSQ_cafe_count,FSQ_avg_cafe_rating,FSQ_total_POI
0,25,15,6141f2e7bed7b74a62c90855c3b95987,53.35023,-6.279696,GEORGES LANE,2022-12-03T06:17:36.422000Z,40,"53.35023,-6.279696",7,4.357142857142857,8.0,4.1875,8,7.916666666666667,5,7.8,13
1,13,17,e61ec9728297f73d6779e35ee766c892,53.357841,-6.251557,NORTH CIRCULAR ROAD (O'CONNELL'S),2022-12-03T06:17:36.383000Z,30,"53.357841,-6.251557",2,3.75,8.0,3.4375,4,7.8,2,,6
2,21,19,9a3222d1d49bec4b46fe2fc24720ac56,53.356307,-6.273717,PHIBSBOROUGH ROAD,2022-12-03T06:17:36.423000Z,40,"53.356307,-6.273717",3,4.0,8.0,4.125,9,7.85,5,,14
3,25,5,aa9dd743c0057f1898341bab187b68fc,53.349562,-6.278198,SMITHFIELD NORTH,2022-12-03T06:17:36.369000Z,30,"53.349562,-6.278198",7,4.357142857142857,8.0,4.25,9,8.057142857142857,9,7.8,18
4,27,6,13b5177c9d64d6cb8072f680addbf274,53.336021,-6.26298,CLONMEL STREET,2022-12-03T06:17:36.371000Z,33,"53.336021,-6.26298",5,4.1,8.0,4.0,14,7.671428571428571,6,7.933333333333334,20
5,24,11,4592d38c6267eee141a2ab5feb049765,53.359405,-6.276142,AVONDALE ROAD,2022-12-03T06:17:36.372000Z,35,"53.359405,-6.276142",4,4.0,6.0,3.9166666666666665,5,7.85,4,7.7,9
6,32,8,577db83eb19140b4f4a821bb93118e59,53.33796,-6.24153,MOUNT STREET LOWER,2022-12-03T06:17:36.373000Z,40,"53.33796,-6.24153",5,4.4,11.0,3.772727272727273,8,7.3625,6,6.8,14
7,7,13,8cd8770c3500b58e05c65dca076a00ac,53.343368,-6.27012,CHRISTCHURCH PLACE,2022-12-03T06:17:36.374000Z,20,"53.343368,-6.27012",3,4.5,14.0,4.178571428571429,11,8.327272727272726,8,8.5125,19
8,8,22,95b25abb14351ba18840c307f9af37cc,53.334123,-6.265436,GRANTHAM STREET,2022-12-03T06:17:36.375000Z,30,"53.334123,-6.265436",6,4.25,8.0,4.0625,8,7.7125,10,7.83,18
9,22,8,1d00b2d8a2c6e87fe5bce251bf05f2f8,53.344304,-6.250427,PEARSE STREET,2022-12-03T06:17:36.376000Z,30,"53.344304,-6.250427",8,4.1875,10.0,4.0,7,7.44,5,6.675,12
10,23,9,0c34fb0af6d2b20fe458d5fef1150854,53.338755,-6.262003,YORK STREET EAST,2022-12-03T06:17:36.376000Z,32,"53.338755,-6.262003",6,4.083333333333333,9.0,4.222222222222222,10,8.26,7,8.514285714285714,17
11,37,3,23b52025656abda6ce66359eced63f7f,53.347777,-6.244239,EXCISE WALK,2022-12-03T06:17:36.377000Z,40,"53.347777,-6.244239",9,4.277777777777778,9.0,3.611111111111111,6,7.5,5,7.033333333333334,11
12,18,12,03a129962208387e736a8305ff928dfe,53.336074,-6.252825,FITZWILLIAM SQUARE WEST,2022-12-03T06:17:36.378000Z,30,"53.336074,-6.252825",4,4.0,7.0,4.071428571428571,5,7.859999999999999,8,7.58,13
13,18,12,e24d1c306b1d65ad507083c305c709dc,53.330091,-6.268044,PORTOBELLO ROAD,2022-12-03T06:17:36.378000Z,30,"53.330091,-6.268044",8,4.125,6.0,3.6666666666666665,6,7.459999999999999,8,8.214285714285714,14
14,0,20,45918c3c3aefd7503768a69654b2673a,53.350929,-6.265125,PARNELL STREET,2022-12-03T06:17:36.379000Z,20,"53.350929,-6.265125",7,4.285714285714286,10.0,4.05,6,8.15,3,7.733333333333333,9
15,13,27,7a78649dff82a724a790100242faf612,53.341515,-6.256853,FREDERICK STREET SOUTH,2022-12-03T06:17:36.380000Z,40,"53.341515,-6.256853",4,4.125,15.0,4.2,3,8.200000000000001,4,8.575,7
16,3,27,c0eb1d097e6980bb8b91c2aee34d28c1,53.348279,-6.254662,CUSTOM HOUSE,2022-12-03T06:17:36.382000Z,30,"53.348279,-6.254662",3,4.166666666666667,19.0,4.131578947368421,11,8.209090909090909,8,7.9625,19
17,25,15,9befbe579535b21b26fe97729b9aaa3a,53.35893,-6.280337,RATHDOWN ROAD,2022-12-03T06:17:36.382000Z,40,"53.35893,-6.280337",2,4.0,4.0,4.0,4,7.85,1,7.5,5
18,37,3,f9bffc0c780d185d007102b425dfc7e1,53.344115,-6.237153,HANOVER QUAY,2022-12-03T06:17:36.384000Z,40,"53.344115,-6.237153",9,4.055555555555555,5.0,3.7,5,5.6,5,7.275,10
19,22,8,ba200d004f519056c7c22174689a353d,53.343893,-6.280531,OLIVER BOND STREET,2022-12-03T06:17:36.384000Z,30,"53.343893,-6.280531",9,4.444444444444445,12.0,4.291666666666667,9,7.6571428571428575,7,8.18,16
20,23,15,bd6828e2b768939185404e89537ab131,53.347477,-6.28525,COLLINS BARRACKS MUSEUM,2022-12-03T06:17:36.385000Z,38,"53.347477,-6.28525",7,4.357142857142857,7.0,4.285714285714286,8,7.8875,9,8.016666666666667,17
21,17,13,516ee41c56889c29b8fa5f4ac0e824f4,53.339005,-6.300217,BROOKFIELD ROAD,2022-12-03T06:17:36.386000Z,30,"53.339005,-6.300217",1,4.0,4.0,3.875,3,7.65,3,,6
22,40,0,0f8feb0dc54ee559f1517c597e284663,53.344153,-6.233451,BENSON STREET,2022-12-03T06:17:36.386000Z,40,"53.344153,-6.233451",7,4.0,8.0,3.875,1,7.4,5,7.833333333333333,6
23,13,17,163b271b79135baced85e8b3d02c9726,53.334295,-6.258503,EARLSFORT TERRACE,2022-12-03T06:17:36.387000Z,30,"53.334295,-6.258503",4,4.25,10.0,4.05,7,7.633333333333333,8,7.8374999999999995,15
24,8,12,85892a5c607e9d8c748b26e74f3a5db2,53.340803,-6.267732,GOLDEN LANE,2022-12-03T06:17:36.387000Z,20,"53.340803,-6.267732",4,4.375,13.0,4.230769230769231,11,8.218181818181819,8,8.2875,19
25,12,18,98efd5ef2d9832e32fa341c6f4e39889,53.351464,-6.255265,DEVERELL PLACE,2022-12-03T06:17:36.388000Z,30,"53.351464,-6.255265",7,4.428571428571429,15.0,3.966666666666667,8,7.914285714285714,6,8.15,14
26,34,6,98695c12cf569bff19abcdc0bbdf9cdb,53.333653,-6.248345,WILTON TERRACE (PARK),2022-12-03T06:17:36.389000Z,40,"53.333653,-6.248345",2,4.25,8.0,4.3125,5,7.720000000000001,3,7.900000000000001,8
27,11,20,1ff69df9ba513f13683792c5824f1fc8,53.343105,-6.277167,JOHN STREET WEST,2022-12-03T06:17:36.390000Z,31,"53.343105,-6.277167",9,4.388888888888889,15.0,4.2,9,7.6375,5,7.775,14
